Sex;Length;Diameter;Height;Whole;Shucked;Viscera;Shellweight;Rings
M;0.605;0.455;0.16;1.1035;medio;0.3015;0.325;9
F;0.615;0.5;0.175;1.377;pesado;0.33;0.292;12
F;0.615;0.52;0.15;1.3435;pesado;0.2605;0.345;10
M;0.615;0.51;0.15;1.296;pesado;0.3315;0.32;9
M;0.615;0.505;0.165;1.34;pesado;0.2815;0.41;12
F;0.62;0.505;0.16;1.3725;pesado;0.275;0.3685;11
M;0.62;0.5;0.165;1.307;pesado;0.2545;0.315;9
F;0.625;0.49;0.155;1.2085;medio;0.162;0.411;11
F;0.625;0.49;0.2;1.3825;pesado;0.285;0.381;11
M;0.63;0.505;0.165;1.26;medio;0.2755;0.406;14
M;0.635;0.51;0.17;1.3555;pesado;0.305;0.39;9
F;0.635;0.5;0.15;1.376;pesado;0.361;0.31;10
F;0.635;0.485;0.165;1.2945;pesado;0.2605;0.2715;9
F;0.64;0.51;0.165;1.486;pesado;0.332;0.321;8
M;0.65;0.525;0.175;1.4715;pesado;0.315;0.399;11
M;0.655;0.52;0.165;1.4095;pesado;0.291;0.405;9
M;0.655;0.58;0.205;2.0805;pesado;0.3415;0.601;17
M;0.66;0.53;0.17;1.3905;pesado;0.212;0.453;15
M;0.66;0.52;0.19;1.558;pesado;0.298;0.4;10
F;0.67;0.585;0.16;1.309;pesado;0.2945;0.413;10
F;0.675;0.525;0.17;1.8095;pesado;0.391;0.455;12
F;0.675;0.525;0.155;1.4785;pesado;0.3405;0.42;9
F;0.68;0.56;0.195;1.7775;pesado;0.322;0.415;11
F;0.685;0.54;0.16;1.6675;pesado;0.3775;0.475;11
F;0.695;0.56;0.22;1.834;pesado;0.422;0.455;11
M;0.73;0.595;0.23;2.8255;muy pesado;0.419;0.897;17
I;0.205;0.14;0.05;0.046;medio;0.012;0.0135;6
I;0.24;0.175;0.055;0.0705;medio;0.014;0.021;5
I;0.24;0.175;0.065;0.0665;medio;0.0135;0.017;3
I;0.255;0.19;0.05;0.083;medio;0.0215;0.027;6
I;0.255;0.18;0.055;0.083;medio;0.0215;0.02;4
I;;0.195;0.06;0.092;medio;0.025;0.0245;6
I;0.28;0.12;0.075;0.117;medio;0.029;0.0345;4
I;0.295;0.23;0.08;0.1625;medio;0.05;0.0385;5
I;0.3;0.235;0.08;0.131;medio;0.0265;0.043;4
I;0.3;0.23;0.095;0.1385;medio;0.0365;0.037;4
I;0.305;0.22;0.07;0.141;medio;0.031;0.037;5
I;0.315;0.235;0.075;0.1485;medio;0.0375;0.0425;6
I;0.315;0.23;0.07;0.144;medio;0.0305;0.04;8
I;0.32;0.24;0.09;0.1575;medio;0.0265;0.0425;5
I;0.325;0.24;0.075;0.187;medio;0.0445;0.05;6
I;0.33;0.265;0.085;0.196;medio;0.0305;0.0445;6
I;0.335;0.25;0.075;0.1825;medio;0.044;0.055;7
I;;0.25;0.075;0.186;medio;0.038;0.0445;7
I;0.34;0.25;0.075;0.1785;medio;0.0455;0.045;5
I;0.34;0.25;0.07;0.2225;medio;0.0425;0.055;7
I;0.345;0.265;0.1;0.2455;medio;0.0535;0.065;7
I;0.37;0.29;0.095;0.249;medio;0.058;0.067;6
I;0.37;0.28;0.095;0.2865;medio;0.069;0.0795;7
I;0.375;0.28;0.09;0.215;medio;0.06;0.055;6
I;0.385;0.265;0.08;0.251;medio;0.037;0.07;6
I;0.41;0.31;0.09;0.339;medio;0.0695;0.09;7
I;0.41;0.305;0.09;0.3535;medio;0.0745;0.1;7
I;0.41;0.31;0.09;0.3335;medio;0.061;0.091;6
I;0.415;0.33;0.09;0.3595;medio;0.081;0.09;6
I;0.42;0.32;0.115;0.376;medio;0.092;0.1;5
I;0.42;0.315;0.1;0.3435;medio;0.0795;0.09;6
I;0.425;0.34;0.1;0.382;medio;0.096;0.1;6
I;0.425;0.315;0.1;0.377;medio;0.072;0.105;6
I;0.43;0.325;0.1;0.3645;medio;0.0825;0.105;7
I;0.43;0.325;0.09;0.425;medio;0.087;0.095;7
I;0.435;0.325;0.12;0.3995;medio;0.061;0.1125;8
I;0.435;0.34;0.115;0.3925;medio;0.078;0.1145;6
I;0.44;0.345;0.13;0.4495;medio;0.0835;0.134;6
I;0.44;0.325;0.09;0.35;medio;0.067;0.105;7
F;0.445;0.335;0.11;0.4355;medio;0.1095;0.1195;6
I;0.445;0.35;0.13;0.4195;medio;0.0945;0.1195;7
I;0.45;0.36;0.13;0.478;medio;0.127;0.137;7
I;0.45;0.355;0.105;0.4445;medio;0.093;0.1335;8
I;0.45;0.345;0.11;0.47;medio;0.0855;0.1135;7
I;0.45;0.335;0.105;0.447;medio;0.153;0.119;7
I;0.455;0.355;0.125;0.5325;medio;0.126;0.1465;7
I;0.455;0.375;0.12;0.497;medio;0.1055;0.1295;6
I;0.46;0.36;0.1;0.4635;medio;0.093;0.115;7
I;0.46;0.345;0.105;0.449;medio;0.0945;0.1265;7
I;0.465;0.365;0.115;0.467;medio;0.0925;0.113;7
I;0.465;0.37;0.115;0.534;medio;0.098;0.143;7
I;0.465;0.345;0.11;0.4415;medio;0.0905;0.12;7
F;0.465;0.35;0.125;0.482;medio;0.106;0.1095;6
M;0.47;0.365;0.12;0.612;medio;0.15;0.14;8
F;0.47;0.365;0.12;0.582;medio;0.092;0.146;8
M;0.475;0.37;0.125;0.537;medio;0.1215;0.15;9
F;0.475;0.36;0.12;0.5915;medio;0.11;0.127;6
M;0.48;0.375;0.115;0.6765;medio;0.1065;0.17;6
M;0.48;0.385;0.145;0.64;medio;0.1405;0.1575;6
M;0.48;0.36;0.1;0.439;medio;0.099;0.115;8
M;;0.365;0.12;0.6015;medio;0.117;0.14;7
F;0.485;0.37;0.115;0.4785;medio;0.0955;0.129;7
M;0.49;0.385;0.125;0.649;medio;0.124;0.1695;8
M;0.495;0.395;0.135;0.6335;medio;0.1295;0.1495;8
M;0.495;0.4;0.135;0.61;medio;0.1435;0.144;7
M;0.5;0.39;0.135;0.6595;medio;0.1535;0.1565;6
I;0.5;0.385;0.12;0.56;medio;0.103;0.135;8
M;0.5;0.385;0.135;0.6425;medio;0.129;0.1535;7
M;0.5;0.4;0.125;0.6725;medio;0.12;0.1825;7
F;0.505;0.39;0.13;0.674;medio;0.141;0.1785;9
I;0.505;0.39;0.15;0.685;medio;0.131;0.156;8
M;0.505;0.41;0.125;0.642;medio;0.133;0.155;9
I;0.505;0.355;0.125;0.601;medio;0.1205;0.185;8
M;0.51;0.39;0.135;0.769;medio;0.1455;0.19;8
I;0.51;0.375;0.1;0.5785;medio;0.1225;0.175;7
I;0.51;0.405;0.135;0.769;medio;0.1585;0.18;7
M;0.51;0.405;0.15;0.7035;medio;0.134;0.1885;8
M;0.51;0.41;0.145;0.796;medio;0.1815;0.1955;8
F;0.515;0.43;0.14;0.834;medio;0.2;0.23;8
M;0.515;0.39;0.155;0.7125;medio;0.137;0.155;7
F;0.525;0.415;0.14;0.724;medio;0.173;0.175;8888
M;0.525;0.4;0.14;0.7325;medio;0.1575;0.17;11
F;0.53;0.425;0.13;0.7585;medio;0.197;0.205;8
F;0.53;0.425;0.15;0.8495;medio;0.232;0.202;8
M;0.53;0.405;0.125;0.6515;medio;0.1605;0.186;7
F;0.535;0.4;0.135;0.8215;medio;0.196;0.205;8
M;0.535;0.43;0.14;0.7165;medio;0.1595;0.2155;8
M;0.535;0.435;0.14;0.874;medio;0.229;0.2195;8
F;0.55;0.445;0.155;0.9905;pesado;0.178;0.218;9
F;0.55;0.43;0.14;0.8105;medio;0.161;0.275;9
F;0.56;0.455;0.16;0.967;medio;0.207;0.274;9
F;0.565;0.4;0.13;0.6975;medio;0.1665;0.18;8
M;0.57;0.45;0.155;1.195;pesado;0.2565;0.295;10
M;0.57;0.45;0.155;1.1935;pesado;0.21;0.343;10
F;0.57;0.455;0.15;1.107;pesado;0.255;0.27;8
M;0.57;0.445;0.14;1.0635;pesado;0.2195;0.24;8
M;0.57;0.46;0.17;0.9035;medio;0.1935;0.214;7
M;0.575;0.475;0.16;1.114;medio;0.2745;0.29;9
F;0.575;0.46;0.16;1.103;pesado;0.221;0.249;9
F;0.58;0.46;0.15;1.1155;pesado;0.2255;0.29;7
F;;0.46;0.18;1.0515;medio;0.2595;0.276;8
M;0.58;0.455;0.15;1.012;medio;0.2115;0.2835;10
F;0.58;0.45;0.145;1.137;pesado;0.22;0.29;8
M;0.58;0.49;0.13;1.1335;pesado;0.2565;0.237;9
M;0.59;0.465;0.155;1.136;pesado;0.2615;0.275;11
M;0.59;0.47;0.16;1.206;medio;0.2425;0.309;8
F;0.59;0.455;0.145;1.063;pesado;0.2445;0.25;8
F;0.595;0.47;0.155;1.121;medio;0.178;0.155;11
